Year,Region,Number_of_Banks,Number_of_Branches,New_Charters,Total_Deposits,Population
2019,United States,4518,76837,13,"13,219,963,335,000",328239523
2018,United States,4717,77134,7,"12,612,885,279,000",326687501
2017,United States,4918,78196,5,"12,081,456,682,000",324985539
2016,United States,5112,79499,0,"11,648,919,378,000",322941311
2015,United States,5340,80958,1,"10,907,951,313,000",320635163
2014,United States,5607,81405,0,"10,370,557,399,000",318301008
2013,United States,5847,82126,1,"9,791,108,371,000",315993715
2012,United States,6072,82965,0,"9,447,122,008,000",313830990
2011,United States,6275,82564,0,"8,758,011,350,000",311556874
2010,United States,6519,82011,5,"7,873,247,576,000",309321666
2009,United States,6829,82490,24,"7,696,824,106,000",
2008,United States,7077,82422,90,"7,496,417,248,000",
2007,United States,7279,78620,175,"6,912,791,214,000",
2006,United States,7397,76023,178,"6,631,175,379,000",
2005,United States,7523,72958,167,"6,220,661,891,000",
2004,United States,7628,70313,120,"5,718,670,231,000",
2003,United States,7767,67592,110,"5,219,174,667,000",
2002,United States,7887,66269,90,"4,910,463,858,000",
2001,United States,8082,64994,125,"4,559,911,635,000",
2000,United States,8315,64213,188,"4,208,094,087,000",
1999,United States,8582,63631,228,,
1998,United States,8775,61940,187,,
1997,United States,9144,60204,182,,
1996,United States,9530,57611,139,,
1995,United States,9943,56176,97,,
1994,United States,10453,54384,46,,
1993,United States,10961,52259,47,,
1992,United States,11467,51381,40,,
1991,United States,11927,51778,77,,
1990,United States,12347,50199,138,,
1989,United States,12715,47789,170,,
1988,United States,13137,46167,191,,
1987,United States,13723,45155,196,,
1986,United States,14210,44162,217,,
1985,United States,14417,43041,280,,
1984,United States,14496,41625,356,,
1983,United States,14469,40853,361,,
1982,United States,14451,39783,317,,
1981,United States,14414,40786,198,,
1980,United States,14434,38738,205,,
1979,United States,14364,36791,204,,
1978,United States,14391,34791,149,,
1977,United States,14411,33108,157,,
1976,United States,14410,31344,161,,
1975,United States,14384,30205,246,,
1974,United States,14230,28651,364,,
1973,United States,13976,26673,332,,
1972,United States,13733,24829,236,,
1971,United States,13612,23336,197,,
1970,United States,13511,21839,178,,
1969,United States,13473,20379,115,,
1968,United States,13487,19183,82,,
1967,United States,13514,18079,94,,
1966,United States,13538,17029,99,,
1965,United States,13544,15872,182,,
1964,United States,13493,14699,323,,
1963,United States,13291,13581,281,,
1962,United States,13124,12421,167,,
1961,United States,13115,11436,98,,
1960,United States,13126,10556,111,,
1959,United States,13114,9732,102,,
1958,United States,13124,8955,83,,
1957,United States,13165,8267,73,,
1956,United States,13218,7639,107,,
1955,United States,13237,6965,103,,
1954,United States,13323,6346,66,,
1953,United States,13432,5855,59,,
1952,United States,13439,5486,61,,
1951,United States,13455,5157,51,,
1950,United States,13446,4832,58,,
1949,United States,13436,4530,58,,
1948,United States,13419,4283,61,,
1947,United States,13403,4096,99,,
1946,United States,13359,3928,130,,
1945,United States,13302,3896,101,,
1944,United States,13268,3875,56,,
1943,United States,13274,3744,36,,
1942,United States,13347,3555,15,,
1941,United States,13430,3517,37,,
1940,United States,13442,3489,28,,
1939,United States,13538,3456,26,,
1938,United States,13661,3412,22,,
1937,United States,13797,3381,46,,
1936,United States,13973,3261,32,,
1935,United States,14125,3112,45,,
1934,United States,14146,0,1220,,
