Year,Bank,Branches,Deposits
2020,Wells Fargo,5413,1486672903
2020,Bank of America,4254,1747264769
2020,JPM Chase,4980,1704654500
2020,US Bank,2774,398452715
2020,PNC,2324,338086019
2019,Wells Fargo,5573,1301036724
2019,Bank of America,4337,1364589805
2019,JPM Chase,5025,1311219500
2019,US Bank,2979,342652693
2019,PNC,2398,269409234
2018,Wells Fargo,5874,1280008306
2018,Bank of America,4475,1325624599
2018,JPM Chase,5149,1316629642
2018,US Bank,3128,320952865
2018,PNC,2482,262176349
2017,Wells Fargo,6090,1258831130
2017,Bank of America,4604,1287869700
2017,JPM Chase,5288,1311974142
2017,US Bank,3173,329468253
2017,PNC,2561,257675713
2016,Wells Fargo,6217,1166667711
2016,Bank of America,4754,1222973508
2016,JPM Chase,5415,1216016756
2016,US Bank,3222,298344516
2016,PNC,2687,248453701
2015,Wells Fargo,6236,1101883515
2015,Bank of America,4862,1185875742
2015,JPM Chase,5547,1130478670
2015,US Bank,3221,279550033
2015,PNC,2767,237987918
2014,Wells Fargo,6314,1073543725
2014,Bank of America,5095,1062365000
2014,JPM Chase,5681,1079427654
2014,US Bank,3238,263661347
2014,PNC,2821,221109179
2013,Wells Fargo,6297,971939847
2013,Bank of America,5400,1036418000
2013,JPM Chase,5696,952223653
2013,US Bank,3140,235339663
2013,PNC,2948,209784952
2012,Wells Fargo,6316,891436613
2012,Bank of America,5659,1028221266
2012,JPM Chase,5607,865008196
2012,US Bank,3134,220712719
2012,PNC,3044,203375163
2011,Wells Fargo,6386,793617903
2011,Bank of America,5855,975072332
2011,JPM Chase,5435,768919603
2011,US Bank,3139,198455053
2011,PNC,2618,180771942
2010,Wells Fargo,6587,750436183
2010,Bank of America,6041,842383087
2010,JPM Chase,5255,652598382
2010,US Bank,3056,169202467
2010,PNC,2602,177348420
2019,United States,76837,1.322E+13
2018,United States,77134,1.26129E+13
2017,United States,78196,1.20815E+13
2016,United States,79499,1.16489E+13
2015,United States,80958,1.0908E+13
2014,United States,81405,1.03706E+13
2013,United States,82126,9.79111E+12
2012,United States,82965,9.44712E+12
2011,United States,82564,8.75801E+12
2010,United States,82011,7.87325E+12
2019,All other banks,61902,1.3216E+13
2018,All other banks,61636,1.2609E+13
2017,All other banks,62214,1.20776E+13
2016,All other banks,63113,1.16453E+13
2015,All other banks,64313,1.09045E+13
2014,All other banks,64315,1.03673E+13
2013,All other banks,58645,9.7877E+12
2012,All other banks,59205,9.44391E+12
2011,All other banks,59131,8.75509E+12
2010,All other banks,58470,7.87066E+12
